Movie,Year
Anchorman: The Legend of Ron Burgundy,2004
Sleepover,2004
The Door in the Floor,2004
A Cinderella Story,2004
"I, Robot",2004
Catwoman,2004
A Home at the End of the World,2004
Garden State,2004
Harold & Kumar Go to White Castle,2004
She Hate Me,2004
The Manchurian Candidate,2004
Thunderbirds,2004
The Village,2004
Collateral,2004
Little Black Book,2004
Open Water,2004
The Princess Diaries 2: Royal Engagement,2004
Alien vs. Predator,2004
Yu-Gi-Oh! The Movie: Pyramid of Light,2004
"Mickey, Donald, Goofy: The Three Musketeers",2004
Exorcist: The Beginning,2004
Without a Paddle,2004
Anacondas: The Hunt for the Blood Orchid,2004
Suspect Zero,2004
5x2,2004
Vanity Fair,2004
The Cookout,2004
Paparazzi,2004
Warriors of Heaven and Earth,2004
Wicker Park,2004
Cellular,2004
Criminal,2004
Resident Evil: Apocalypse,2004
Saving Face,2004
Mr. 3000,2004
Sky Captain and the World of Tomorrow,2004
Wimbledon,2004
Georges Bataille's Story of the Eye,2004
First Daughter,2004
The Forgotten,2004
The Last Shot,2004
The Motorcycle Diaries,2004
Shaun of the Dead,2004
I Heart Huckabees,2004
Ladder 49,2004
Shark Tale,2004
Bride and Prejudice,2004
Taxi,2004
Around the Bend,2004
Friday Night Lights,2004
Raise Your Voice,2004
Being Julia,2004
The Final Cut,2004
Shall We Dance?,2004
Team America: World Police,2004
The Grudge,2004
Sideways,2004
Surviving Christmas,2004
Vera Drake,2004
Birth,2004
Ray,2004
Saw,2004
Stage Beauty,2004
Alfie,2004
Fade to Black,2004
Mickey's Twice Upon a Christmas,2004
After the Sunset,2004
Finding Neverland,2004
Kinsey,2004
Seed of Chucky,2004
Kangaroo Jack: G'Day U.S.A.!,2004
Bridget Jones: The Edge of Reason,2004
The SpongeBob SquarePants Movie,2004
Alexander,2004
Christmas with the Kranks,2004
A Very Long Engagement,2004
Closer,2004
House of Flying Daggers,2004
Blue Collar Comedy Tour Rides Again,2004
The Life and Death of Peter Sellers,2004
Blade: Trinity,2004
Ocean's Twelve,2004
Million Dollar Baby,2004
Beyond the Sea,2004
Flight of the Phoenix,2004
Lemony Snicket's A Series of Unfortunate Events,2004
Spanglish,2004
Hotel Rwanda,2004
The Aviator,2004
Darkness,2004
Fat Albert,2004
The Life Aquatic with Steve Zissou,2004
The Assassination of Richard Nixon,2004
In Good Company,2004
A Love Song for Bobby Long,2004
